date,ComfirmedCases
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,0
2/14/20,0
2/15/20,0
2/16/20,0
2/17/20,0
2/18/20,0
2/19/20,0
2/20/20,0
2/21/20,0
2/22/20,0
2/23/20,0
2/24/20,0
2/25/20,0
2/26/20,0
2/27/20,0
2/28/20,0
2/29/20,0
3/1/20,0
3/2/20,0
3/3/20,0
3/4/20,0
3/5/20,0
3/6/20,0
3/7/20,0
3/8/20,0
3/9/20,0
3/10/20,0
3/11/20,0
3/12/20,0
3/13/20,0
3/14/20,1
3/15/20,1
3/16/20,4
3/17/20,2
3/18/20,2
3/19/20,45
3/20/20,32
3/21/20,15
3/22/20,39
3/23/20,35
3/24/20,50
3/25/20,56
3/26/20,67
3/27/20,57
3/28/20,130
3/29/20,86
3/30/20,108
3/31/20,125
4/1/20,235
4/2/20,244
4/3/20,228
4/4/20,278
4/5/20,165
4/6/20,157
4/7/20,257
4/8/20,212
4/9/20,157
4/10/20,190
4/11/20,191
4/12/20,90
4/13/20,164
4/14/20,202
4/15/20,172
4/16/20,201
4/17/20,153
4/18/20,106
4/19/20,109
4/20/20,65
4/21/20,119
4/22/20,87
4/23/20,239
4/24/20,169
4/25/20,118
4/26/20,65
4/27/20,48
4/28/20,98
4/29/20,97
4/30/20,85
5/1/20,114
5/2/20,46
5/3/20,91
5/4/20,-19
5/5/20,59
5/6/20,45
5/7/20,47
5/8/20,91
5/9/20,63
5/10/20,25
5/11/20,25
5/12/20,36
5/13/20,48
5/14/20,103
5/15/20,47
5/16/20,33
5/17/20,42
5/18/20,13
5/19/20,15
5/20/20,31
5/21/20,34
5/22/20,27
5/23/20,37
5/24/20,19
5/25/20,17
5/26/20,15
5/27/20,33
5/28/20,33
5/29/20,35
5/30/20,10
5/31/20,71
6/1/20,13
6/2/20,15
6/3/20,57
6/4/20,22
6/5/20,36
6/6/20,4
6/7/20,3
6/8/20,5
6/9/20,3
6/10/20,0
6/11/20,6
6/12/20,10
6/13/20,19
6/14/20,15
6/15/20,10
6/16/20,31
6/17/20,11
6/18/20,10
6/19/20,11
6/20/20,23
6/21/20,6
6/22/20,13
6/23/20,10
6/24/20,16
6/25/20,34
6/26/20,27
6/27/20,19
6/28/20,26
6/29/20,20
6/30/20,42
7/1/20,69
7/2/20,41
7/3/20,33
7/4/20,19
7/5/20,20
7/6/20,39
7/7/20,45
7/8/20,26
7/9/20,39
7/10/20,49
7/11/20,45
7/12/20,46
7/13/20,47
7/14/20,45
7/15/20,115
7/16/20,101
7/17/20,73
7/18/20,60
7/19/20,82
7/20/20,65
7/21/20,86
7/22/20,82
7/23/20,63
7/24/20,103
7/25/20,27
7/26/20,112
7/27/20,92
7/28/20,72
7/29/20,111
7/30/20,148
7/31/20,134
8/1/20,117
8/2/20,37
8/3/20,120
8/4/20,112
8/5/20,98
8/6/20,110
8/7/20,163
8/8/20,134
8/9/20,94
8/10/20,112
8/11/20,131
8/12/20,118
8/13/20,159
8/14/20,131
8/15/20,137
8/16/20,95
8/17/20,89
8/18/20,79
8/19/20,137
8/20/20,53
8/21/20,0
8/22/20,205
8/23/20,137
8/24/20,138
8/25/20,101
8/26/20,105
8/27/20,94
8/28/20,108
8/29/20,0
8/30/20,193
8/31/20,25
9/1/20,103
9/2/20,53
9/3/20,95
9/4/20,73
9/5/20,86
9/6/20,0
9/7/20,112
9/8/20,46
9/9/20,85
9/10/20,78
9/11/20,88
9/12/20,74
9/13/20,0
9/14/20,87
9/15/20,37
9/16/20,30
9/17/20,48
9/18/20,52
9/19/20,44
9/20/20,0
9/21/20,150
9/22/20,42
9/23/20,66
9/24/20,98
9/25/20,73
9/26/20,78
9/27/20,0
9/28/20,150
9/29/20,90
9/30/20,101
10/1/20,90
10/2/20,86
10/3/20,112
10/4/20,0
10/5/20,160
10/6/20,67
10/7/20,111
10/8/20,132
10/9/20,178
10/10/20,156
10/11/20,0
10/12/20,154
10/13/20,97
10/14/20,157
10/15/20,229
10/16/20,203
10/17/20,119
10/18/20,0
10/19/20,206
10/20/20,139
10/21/20,153
10/22/20,189
10/23/20,152
10/24/20,316
10/25/20,0
10/26/20,312
10/27/20,211
10/28/20,281
10/29/20,298
10/30/20,275
10/31/20,328
11/1/20,0
11/2/20,650
11/3/20,257
11/4/20,395
11/5/20,681
11/6/20,372
11/7/20,582
11/8/20,0
11/9/20,831
11/10/20,788
11/11/20,667
11/12/20,655
11/13/20,713
11/14/20,878
11/15/20,0
11/16/20,1059
11/17/20,805
11/18/20,554
11/19/20,594
11/20/20,953
11/21/20,664
11/22/20,0
11/23/20,1042
11/24/20,674
11/25/20,425
11/26/20,0
11/27/20,1845
11/28/20,766
11/29/20,0
11/30/20,1126
12/1/20,648
12/2/20,890
12/3/20,570
12/4/20,846
12/5/20,616
12/6/20,0
12/7/20,829
12/8/20,659
12/9/20,547
12/10/20,537
12/11/20,408
12/12/20,404
12/13/20,0
12/14/20,585
12/15/20,602
12/16/20,378
12/17/20,336
12/18/20,322
12/19/20,272
12/20/20,0
12/21/20,377
12/22/20,232
12/23/20,296
12/24/20,0
12/25/20,0
12/26/20,616
12/27/20,0
12/28/20,209
12/29/20,304
12/30/20,284
12/31/20,0
1/1/21,0
1/2/21,651
1/3/21,0
1/4/21,464
1/5/21,167
1/6/21,444
1/7/21,261
1/8/21,319
1/9/21,188
1/10/21,0
1/11/21,400
1/12/21,155
1/13/21,270
1/14/21,232
1/15/21,228
1/16/21,148
1/17/21,0
1/18/21,299
1/19/21,179
1/20/21,233
1/21/21,204
1/22/21,250
1/23/21,199
1/24/21,0
1/25/21,226
1/26/21,238
1/27/21,162
1/28/21,179
1/29/21,166
1/30/21,117
1/31/21,0
2/1/21,203
2/2/21,121
2/3/21,117
2/4/21,188
2/5/21,134
2/6/21,93
2/7/21,0
2/8/21,185
2/9/21,71
2/10/21,125
2/11/21,133
2/12/21,99
2/13/21,74
2/14/21,0
2/15/21,101
2/16/21,81
2/17/21,103
2/18/21,105
2/19/21,122
2/20/21,95
2/21/21,0
2/22/21,170
2/23/21,175
2/24/21,142
2/25/21,168
2/26/21,101
2/27/21,177
2/28/21,0
3/1/21,184
3/2/21,170
3/3/21,200
3/4/21,243
3/5/21,209
3/6/21,209
3/7/21,0
3/8/21,222
3/9/21,195
3/10/21,326
3/11/21,294
3/12/21,362
3/13/21,235
3/14/21,0
3/15/21,488
3/16/21,335
3/17/21,484
3/18/21,357
3/19/21,631
3/20/21,446
3/21/21,0
3/22/21,793
3/23/21,603
3/24/21,696
3/25/21,824
3/26/21,874
3/27/21,785
3/28/21,0
3/29/21,1508
3/30/21,970
3/31/21,1000
4/1/21,1026
4/2/21,801
4/3/21,1388
4/4/21,0
4/5/21,1488
4/6/21,710
4/7/21,1117
4/8/21,942
4/9/21,1035
4/10/21,778
4/11/21,0
4/12/21,1218
4/13/21,1247
4/14/21,895
4/15/21,772
4/16/21,1033
4/17/21,752
4/18/21,0
4/19/21,1178
4/20/21,929
4/21/21,609
4/22/21,654
4/23/21,499
4/24/21,555
4/25/21,0
4/26/21,754
4/27/21,462
4/28/21,424
4/29/21,374
4/30/21,363
5/1/21,394
5/2/21,0
5/3/21,571
5/4/21,328
5/5/21,293
5/6/21,373
5/7/21,282
5/8/21,246
5/9/21,0
5/10/21,249
5/11/21,182
5/12/21,223
5/13/21,205
5/14/21,154
5/15/21,114
5/16/21,0
5/17/21,259
5/18/21,95
5/19/21,181
5/20/21,157
5/21/21,101
5/22/21,106
5/23/21,0
5/24/21,120
5/25/21,80
5/26/21,87
5/27/21,100
5/28/21,74
5/29/21,43
5/30/21,0
5/31/21,0
6/1/21,79
6/2/21,40
6/3/21,34
6/4/21,34
6/5/21,31
6/6/21,0
6/7/21,48
6/8/21,38
6/9/21,26
6/10/21,21
6/11/21,21
6/12/21,20
6/13/21,0
6/14/21,39
6/15/21,22
6/16/21,16
6/17/21,11
6/18/21,16
6/19/21,0
6/20/21,0
6/21/21,28
6/22/21,8
6/23/21,15
6/24/21,10
6/25/21,6
6/26/21,0
6/27/21,0
6/28/21,28
6/29/21,14
6/30/21,13
7/1/21,8
7/2/21,11
7/3/21,0
7/4/21,0
7/5/21,0
7/6/21,39
7/7/21,0
7/8/21,0
7/9/21,66
7/10/21,0
7/11/21,0
7/12/21,0
7/13/21,61
7/14/21,0
7/15/21,0
7/16/21,65
7/17/21,0
7/18/21,0
7/19/21,0
7/20/21,110
7/21/21,0
7/22/21,0
7/23/21,174
7/24/21,0
7/25/21,0
7/26/21,0
7/27/21,223
7/28/21,0
7/29/21,0
7/30/21,250
7/31/21,0
8/1/21,0
8/2/21,0
8/3/21,282
8/4/21,0
8/5/21,0
8/6/21,405
8/7/21,0
8/8/21,0
8/9/21,259
8/10/21,0
8/11/21,261
8/12/21,0
8/13/21,327
8/14/21,0
8/15/21,0
8/16/21,322
8/17/21,0
8/18/21,267
8/19/21,0
8/20/21,358
8/21/21,0
8/22/21,0
8/23/21,317
8/24/21,0
8/25/21,445
8/26/21,0
8/27/21,355
8/28/21,0
8/29/21,0
8/30/21,543
8/31/21,0
9/1/21,445
9/2/21,0
9/3/21,416
9/4/21,0
9/5/21,0
9/6/21,0
9/7/21,603
9/8/21,228
9/9/21,0
9/10/21,559
9/11/21,0
9/12/21,0
9/13/21,525
9/14/21,0
9/15/21,498
9/16/21,0
9/17/21,491
9/18/21,0
9/19/21,0
9/20/21,645
9/21/21,0
9/22/21,618
9/23/21,0
9/24/21,513
9/25/21,0
9/26/21,0
9/27/21,771
9/28/21,0
9/29/21,677
9/30/21,0
10/1/21,778
10/2/21,0
10/3/21,0
10/4/21,802
10/5/21,0
10/6/21,708
10/7/21,0
10/8/21,738
10/9/21,0
10/10/21,0
10/11/21,933
10/12/21,0
10/13/21,762
10/14/21,0
10/15/21,768
10/16/21,0
10/17/21,0
10/18/21,763
10/19/21,0
10/20/21,635
10/21/21,0
10/22/21,696
10/23/21,0
10/24/21,0
10/25/21,835
10/26/21,0
10/27/21,753
10/28/21,0
10/29/21,729
10/30/21,0
10/31/21,0