date,death,confirmed cases
1/23/20,0,0
1/24/20,0,0
1/25/20,0,0
1/26/20,0,0
1/27/20,0,0
1/28/20,0,0
1/29/20,0,0
1/30/20,0,0
1/31/20,0,0
2/1/20,0,0
2/2/20,0,0
2/3/20,0,0
2/4/20,0,0
2/5/20,0,0
2/6/20,0,0
2/7/20,0,0
2/8/20,0,0
2/9/20,0,0
2/10/20,0,0
2/11/20,0,0
2/12/20,0,0
2/13/20,0,0
2/14/20,0,0
2/15/20,0,0
2/16/20,0,0
2/17/20,0,0
2/18/20,0,0
2/19/20,0,0
2/20/20,0,0
2/21/20,0,0
2/22/20,0,0
2/23/20,0,0
2/24/20,0,0
2/25/20,0,0
2/26/20,0,0
2/27/20,0,0
2/28/20,0,0
2/29/20,0,0
3/1/20,0,0
3/2/20,0,0
3/3/20,0,0
3/4/20,0,0
3/5/20,0,0
3/6/20,0,0
3/7/20,0,0
3/8/20,0,0
3/9/20,0,0
3/10/20,0,0
3/11/20,0,0
3/12/20,0,0
3/13/20,0,0
3/14/20,0,1
3/15/20,0,1
3/16/20,0,4
3/17/20,0,2
3/18/20,0,2
3/19/20,0,45
3/20/20,0,32
3/21/20,0,15
3/22/20,1,39
3/23/20,1,35
3/24/20,2,50
3/25/20,4,56
3/26/20,4,67
3/27/20,3,57
3/28/20,3,130
3/29/20,3,86
3/30/20,8,108
3/31/20,11,125
4/1/20,13,235
4/2/20,7,244
4/3/20,8,228
4/4/20,13,278
4/5/20,6,165
4/6/20,19,157
4/7/20,21,257
4/8/20,20,212
4/9/20,26,157
4/10/20,33,190
4/11/20,12,191
4/12/20,10,90
4/13/20,25,164
4/14/20,53,202
4/15/20,37,172
4/16/20,26,201
4/17/20,21,153
4/18/20,12,106
4/19/20,7,109
4/20/20,12,65
4/21/20,42,119
4/22/20,28,87
4/23/20,20,239
4/24/20,12,169
4/25/20,13,118
4/26/20,3,65
4/27/20,7,48
4/28/20,45,98
4/29/20,25,97
4/30/20,6,85
5/1/20,12,114
5/2/20,11,46
5/3/20,3,91
5/4/20,16,-19
5/5/20,4,59
5/6/20,15,45
5/7/20,16,47
5/8/20,6,91
5/9/20,23,63
5/10/20,1,25
5/11/20,1,25
5/12/20,12,36
5/13/20,8,48
5/14/20,11,103
5/15/20,2,47
5/16/20,10,33
5/17/20,1,42
5/18/20,0,13
5/19/20,13,15
5/20/20,11,31
5/21/20,9,34
5/22/20,4,27
5/23/20,2,37
5/24/20,0,19
5/25/20,0,17
5/26/20,2,15
5/27/20,5,33
5/28/20,3,33
5/29/20,6,35
5/30/20,9,10
5/31/20,8,71
6/1/20,5,13
6/2/20,4,15
6/3/20,9,57
6/4/20,2,22
6/5/20,4,36
6/6/20,0,4
6/7/20,0,3
6/8/20,2,5
6/9/20,3,3
6/10/20,0,0
6/11/20,4,6
6/12/20,2,10
6/13/20,8,19
6/14/20,0,15
6/15/20,0,10
6/16/20,2,31
6/17/20,1,11
6/18/20,5,10
6/19/20,0,11
6/20/20,2,23
6/21/20,0,6
6/22/20,0,13
6/23/20,-1,10
6/24/20,0,16
6/25/20,2,34
6/26/20,1,27
6/27/20,4,19
6/28/20,2,26
6/29/20,0,20
6/30/20,9,42
7/1/20,0,69
7/2/20,1,41
7/3/20,2,33
7/4/20,0,19
7/5/20,0,20
7/6/20,0,39
7/7/20,4,45
7/8/20,0,26
7/9/20,0,39
7/10/20,1,49
7/11/20,4,45
7/12/20,0,46
7/13/20,0,47
7/14/20,1,45
7/15/20,0,115
7/16/20,3,101
7/17/20,0,73
7/18/20,1,60
7/19/20,0,82
7/20/20,1,65
7/21/20,2,86
7/22/20,0,82
7/23/20,0,63
7/24/20,0,103
7/25/20,0,27
7/26/20,0,112
7/27/20,1,92
7/28/20,0,72
7/29/20,-4,111
7/30/20,3,148
7/31/20,0,134
8/1/20,0,117
8/2/20,0,37
8/3/20,0,120
8/4/20,1,112
8/5/20,0,98
8/6/20,5,110
8/7/20,2,163
8/8/20,2,134
8/9/20,0,94
8/10/20,1,112
8/11/20,1,131
8/12/20,1,118
8/13/20,0,159
8/14/20,1,131
8/15/20,5,137
8/16/20,0,95
8/17/20,0,89
8/18/20,1,79
8/19/20,0,137
8/20/20,2,53
8/21/20,0,0
8/22/20,0,205
8/23/20,0,137
8/24/20,0,138
8/25/20,3,101
8/26/20,1,105
8/27/20,2,94
8/28/20,1,108
8/29/20,0,0
8/30/20,3,193
8/31/20,0,25
9/1/20,1,103
9/2/20,10,53
9/3/20,2,95
9/4/20,1,73
9/5/20,0,86
9/6/20,0,0
9/7/20,1,112
9/8/20,0,46
9/9/20,10,85
9/10/20,6,78
9/11/20,2,88
9/12/20,1,74
9/13/20,0,0
9/14/20,2,87
9/15/20,1,37
9/16/20,1,30
9/17/20,1,48
9/18/20,-1,52
9/19/20,3,44
9/20/20,0,0
9/21/20,1,150
9/22/20,3,42
9/23/20,2,66
9/24/20,2,98
9/25/20,3,73
9/26/20,1,78
9/27/20,0,0
9/28/20,0,150
9/29/20,2,90
9/30/20,1,101
10/1/20,1,90
10/2/20,2,86
10/3/20,5,112
10/4/20,0,0
10/5/20,0,160
10/6/20,1,67
10/7/20,2,111
10/8/20,3,132
10/9/20,2,178
10/10/20,1,156
10/11/20,0,0
10/12/20,0,154
10/13/20,2,97
10/14/20,4,157
10/15/20,8,229
10/16/20,4,203
10/17/20,2,119
10/18/20,0,0
10/19/20,4,206
10/20/20,1,139
10/21/20,4,153
10/22/20,4,189
10/23/20,4,152
10/24/20,6,316
10/25/20,0,0
10/26/20,1,312
10/27/20,2,211
10/28/20,1,281
10/29/20,5,298
10/30/20,0,275
10/31/20,5,328
11/1/20,0,0
11/2/20,0,650
11/3/20,4,257
11/4/20,0,395
11/5/20,6,681
11/6/20,2,372
11/7/20,10,582
11/8/20,0,0
11/9/20,1,831
11/10/20,9,788
11/11/20,0,667
11/12/20,4,655
11/13/20,22,713
11/14/20,10,878
11/15/20,0,0
11/16/20,1,1059
11/17/20,7,805
11/18/20,2,554
11/19/20,17,594
11/20/20,10,953
11/21/20,10,664
11/22/20,0,0
11/23/20,4,1042
11/24/20,15,674
11/25/20,4,425
11/26/20,0,0
11/27/20,17,1845
11/28/20,14,766
11/29/20,0,0
11/30/20,11,1126
12/1/20,13,648
12/2/20,4,890
12/3/20,18,570
12/4/20,6,846
12/5/20,17,616
12/6/20,0,0
12/7/20,1,829
12/8/20,19,659
12/9/20,6,547
12/10/20,27,537
12/11/20,3,408
12/12/20,26,404
12/13/20,0,0
12/14/20,8,585
12/15/20,23,602
12/16/20,1,378
12/17/20,24,336
12/18/20,3,322
12/19/20,38,272
12/20/20,0,0
12/21/20,3,377
12/22/20,18,232
12/23/20,7,296
12/24/20,0,0
12/25/20,0,0
12/26/20,31,616
12/27/20,0,0
12/28/20,1,209
12/29/20,23,304
12/30/20,3,284
12/31/20,0,0
1/1/21,0,0
1/2/21,31,651
1/3/21,0,0
1/4/21,4,464
1/5/21,20,167
1/6/21,2,444
1/7/21,18,261
1/8/21,2,319
1/9/21,33,188
1/10/21,0,0
1/11/21,5,400
1/12/21,13,155
1/13/21,0,270
1/14/21,19,232
1/15/21,3,228
1/16/21,16,148
1/17/21,0,0
1/18/21,0,299
1/19/21,2,179
1/20/21,4,233
1/21/21,17,204
1/22/21,2,250
1/23/21,25,199
1/24/21,0,0
1/25/21,3,226
1/26/21,9,238
1/27/21,2,162
1/28/21,11,179
1/29/21,-2,166
1/30/21,20,117
1/31/21,0,0
2/1/21,2,203
2/2/21,6,121
2/3/21,6,117
2/4/21,17,188
2/5/21,1,134
2/6/21,12,93
2/7/21,0,0
2/8/21,-1,185
2/9/21,5,71
2/10/21,1,125
2/11/21,9,133
2/12/21,0,99
2/13/21,12,74
2/14/21,0,0
2/15/21,0,101
2/16/21,2,81
2/17/21,0,103
2/18/21,10,105
2/19/21,1,122
2/20/21,6,95
2/21/21,0,0
2/22/21,0,170
2/23/21,5,175
2/24/21,-1,142
2/25/21,7,168
2/26/21,0,101
2/27/21,7,177
2/28/21,0,0
3/1/21,0,184
3/2/21,4,170
3/3/21,-1,200
3/4/21,3,243
3/5/21,0,209
3/6/21,6,209
3/7/21,0,0
3/8/21,2,222
3/9/21,2,195
3/10/21,1,326
3/11/21,2,294
3/12/21,2,362
3/13/21,7,235
3/14/21,0,0
3/15/21,0,488
3/16/21,1,335
3/17/21,0,484
3/18/21,5,357
3/19/21,1,631
3/20/21,4,446
3/21/21,0,0
3/22/21,0,793
3/23/21,1,603
3/24/21,0,696
3/25/21,4,824
3/26/21,4,874
3/27/21,5,785
3/28/21,0,0
3/29/21,1,1508
3/30/21,4,970
3/31/21,0,1000
4/1/21,10,1026
4/2/21,1,801
4/3/21,11,1388
4/4/21,0,0
4/5/21,1,1488
4/6/21,6,710
4/7/21,2,1117
4/8/21,6,942
4/9/21,1,1035
4/10/21,7,778
4/11/21,0,0
4/12/21,1,1218
4/13/21,8,1247
4/14/21,1,895
4/15/21,17,772
4/16/21,5,1033
4/17/21,12,752
4/18/21,0,0
4/19/21,6,1178
4/20/21,5,929
4/21/21,4,609
4/22/21,19,654
4/23/21,7,499
4/24/21,21,555
4/25/21,0,0
4/26/21,1,754
4/27/21,15,462
4/28/21,0,424
4/29/21,33,374
4/30/21,3,363
5/1/21,27,394
5/2/21,0,0
5/3/21,4,571
5/4/21,18,328
5/5/21,2,293
5/6/21,21,373
5/7/21,4,282
5/8/21,16,246
5/9/21,0,0
5/10/21,1,249
5/11/21,4,182
5/12/21,2,223
5/13/21,12,205
5/14/21,7,154
5/15/21,19,114
5/16/21,0,0
5/17/21,2,259
5/18/21,8,95
5/19/21,0,181
5/20/21,16,157
5/21/21,5,101
5/22/21,12,106
5/23/21,0,0
5/24/21,1,120
5/25/21,3,80
5/26/21,-1,87
5/27/21,3,100
5/28/21,1,74
5/29/21,7,43
5/30/21,0,0
5/31/21,0,0
6/1/21,4,79
6/2/21,1,40
6/3/21,9,34
6/4/21,3,34
6/5/21,11,31
6/6/21,0,0
6/7/21,1,48
6/8/21,5,38
6/9/21,1,26
6/10/21,7,21
6/11/21,0,21
6/12/21,9,20
6/13/21,0,0
6/14/21,0,39
6/15/21,2,22
6/16/21,-1,16
6/17/21,1,11
6/18/21,2,16
6/19/21,0,0
6/20/21,0,0
6/21/21,6,28
6/22/21,1,8
6/23/21,0,15
6/24/21,6,10
6/25/21,0,6
6/26/21,0,0
6/27/21,0,0
6/28/21,0,28
6/29/21,1,14
6/30/21,1,13
7/1/21,3,8
7/2/21,-2,11
7/3/21,0,0
7/4/21,0,0
7/5/21,0,0
7/6/21,2,39
7/7/21,0,0
7/8/21,0,0
7/9/21,0,66
7/10/21,0,0
7/11/21,0,0
7/12/21,0,0
7/13/21,3,61
7/14/21,0,0
7/15/21,0,0
7/16/21,2,65
7/17/21,0,0
7/18/21,0,0
7/19/21,0,0
7/20/21,2,110
7/21/21,0,0
7/22/21,0,0
7/23/21,0,174
7/24/21,0,0
7/25/21,0,0
7/26/21,0,0
7/27/21,1,223
7/28/21,0,0
7/29/21,0,0
7/30/21,3,250
7/31/21,0,0
8/1/21,0,0
8/2/21,0,0
8/3/21,3,282
8/4/21,0,0
8/5/21,0,0
8/6/21,2,405
8/7/21,0,0
8/8/21,0,0
8/9/21,1,259
8/10/21,0,0
8/11/21,2,261
8/12/21,0,0
8/13/21,1,327
8/14/21,0,0
8/15/21,0,0
8/16/21,1,322
8/17/21,0,0
8/18/21,1,267
8/19/21,0,0
8/20/21,3,358
8/21/21,0,0
8/22/21,0,0
8/23/21,2,317
8/24/21,0,0
8/25/21,2,445
8/26/21,0,0
8/27/21,8,355
8/28/21,0,0
8/29/21,0,0
8/30/21,3,543
8/31/21,0,0
9/1/21,5,445
9/2/21,0,0
9/3/21,2,416
9/4/21,0,0
9/5/21,0,0
9/6/21,0,0
9/7/21,2,603
9/8/21,1,228
9/9/21,0,0
9/10/21,8,559
9/11/21,0,0
9/12/21,0,0
9/13/21,4,525
9/14/21,0,0
9/15/21,5,498
9/16/21,0,0
9/17/21,7,491
9/18/21,0,0
9/19/21,0,0
9/20/21,2,645
9/21/21,0,0
9/22/21,8,618
9/23/21,0,0
9/24/21,9,513
9/25/21,0,0
9/26/21,0,0
9/27/21,0,771
9/28/21,0,0
9/29/21,10,677
9/30/21,0,0
10/1/21,5,778
10/2/21,0,0
10/3/21,0,0
10/4/21,1,802
10/5/21,0,0
10/6/21,9,708
10/7/21,0,0
10/8/21,6,738
10/9/21,0,0
10/10/21,0,0
10/11/21,1,933
10/12/21,0,0
10/13/21,14,762
10/14/21,0,0
10/15/21,9,768
10/16/21,0,0
10/17/21,0,0
10/18/21,3,763
10/19/21,0,0
10/20/21,9,635
10/21/21,0,0
10/22/21,10,696
10/23/21,0,0
10/24/21,0,0
10/25/21,4,835
10/26/21,0,0
10/27/21,13,753
10/28/21,0,0
10/29/21,17,729
10/30/21,0,0
10/31/21,0,0
11/1/21,9,1121
11/2/21,0,0
11/3/21,11,843
11/4/21,0,0
11/5/21,14,996
11/6/21,0,0
11/7/21,0,0
11/8/21,3,759
11/9/21,0,0
11/10/21,17,678
11/11/21,0,0
11/12/21,11,1662
11/13/21,0,0
11/14/21,0,0
11/15/21,5,1997
11/16/21,0,0
11/17/21,25,1586
11/18/21,0,0
11/19/21,15,1606
11/20/21,0,0
11/21/21,0,0
11/22/21,3,1894
11/23/21,0,0
11/24/21,28,1808
11/25/21,0,0
11/26/21,0,0
11/27/21,0,0
11/28/21,0,0
11/29/21,15,2967
11/30/21,0,0